Interest,Aliases,vector_id
ai,"Artificial Intelligence, Machine Intelligence",interest_65
ai & machine learning,"AML, Artificial Intelligence, Machine Intelligence",interest_66
ai & ml,"AM, Artificial Intelligence, Machine Intelligence",interest_67
ai accelerator architectures,"AAA, Artificial Intelligence, Machine Intelligence",interest_68
ai and machine learning,"AML, Artificial Intelligence, Machine Intelligence",interest_69
ai and stem,"AS, Artificial Intelligence, Machine Intelligence",interest_70
ai application in power system protection &,"AAPSP, Artificial Intelligence, Machine Intelligence",interest_71
ai for social good,"ASG, Artificial Intelligence, Machine Intelligence",interest_72
ai in healthcare,"AH, Artificial Intelligence, Machine Intelligence",interest_73
ai infrastracture,"AI, Artificial Intelligence, Machine Intelligence",interest_74
ai techniques applications for for power,"ATAP, Artificial Intelligence, Machine Intelligence",interest_75
ai/ml,"AM, Artificial Intelligence, Machine Intelligence",interest_76
ai/ml accelerator,"AI Chips, AMA, Artificial Intelligence, Edge AI Hardware, Hardware Accelerators, Machine Intelligence, NPU, TPU",interest_77
ai/ml for cheme,"AMC, Artificial Intelligence, Machine Intelligence",interest_78
ai/ml in manufacturing,"AMM, Artificial Intelligence, Machine Intelligence",interest_79
ai/ml | nanoclusters | batteries | molecular,"AMNBM, Artificial Intelligence, Machine Intelligence, Nanoscale Science, Nanotechnology",interest_80
air and water pollution,"AWP, Artificial Intelligence, Machine Intelligence",interest_81
air conditioning,"AC, Artificial Intelligence, Machine Intelligence",interest_82
air pollution,"AP, Aerosol Dynamics, Air Quality Monitoring, Artificial Intelligence, Emission Control, Machine Intelligence, Particulate Matter",interest_83
air quality,"AQ, Artificial Intelligence, Machine Intelligence",interest_84
algal biofuels & bior,"ABB, Biomedical Engineering, Biotechnology, Clean Energy, Renewable Energy Systems",interest_85
algal biorefinery,"AB, Biomedical Engineering, Biotechnology",interest_86
algal biotechnology,"AB, Biomedical Engineering, Biotechnology",interest_87
algebra,"algebra Research, algebra Technology",interest_88
algebraic combinatorics,"AC, Artificial Intelligence, Machine Intelligence",interest_89
algebraic geometry,"AG, Artificial Intelligence, Machine Intelligence",interest_90
algorithm designing,AD,interest_91
algorithm development,AD,interest_92
algorithmic bias and fairness,"ABF, Artificial Intelligence, Machine Intelligence",interest_93
algorithms,"algorithms Research, algorithms Technology",interest_94
alkb,"alkb Research, alkb Technology",interest_95
alkbh2,"alkbh2 Research, alkbh2 Technology",interest_96
alkbh3,"alkbh3 Research, alkbh3 Technology",interest_97
all solid-state batteries,ASSB,interest_98
alloy design,AD,interest_99
alloy development,AD,interest_100
alternative construction,AC,interest_101
alternative fuel,"AF, Clean Energy, Renewable Energy Systems",interest_102
alternative fuels,"AF, Clean Energy, Renewable Energy Systems",interest_103
alzheimer's and other amyloid diseases,ASOAD,interest_104
amorphous and nanocrystalline ma,"ANM, Nanoscale Science, Nanotechnology",interest_105
amorphous solids,AS,interest_106
amr,"amr Research, amr Technology",interest_107
amr · ser and metallo-β-lactamase,ASML,interest_108
amyloid,"amyloid Research, amyloid Technology",interest_109
amyloids,"amyloids Research, amyloids Technology",interest_110
anaerobic digestion,AD,interest_111
analog and rf ic design,ARID,interest_112
analog mixed signal integrated circuit design,AMSICD,interest_113
analysis of partial differential equations,APDE,interest_114
analytic number theory,ANT,interest_115
analytical chemistry,AC,interest_116
analytical modelling,AM,interest_117
analytical photochemistry,AP,interest_118
and biomass valorization,"BV, Biomedical Engineering, Biotechnology",interest_119
and computational materials science,"Advanced Materials, CMS, Materials Science",interest_120
and data mining,DM,interest_121
and energy systems,"Clean Energy, ES, Renewable Energy Systems",interest_122
and materials chemistry,"Advanced Materials, MC, Materials Science",interest_123
and simulation,"and simulation Research, and simulation Technology",interest_124
and transnational history,TH,interest_125
angio-osteo-genesis,AOG,interest_126
ann,"ann Research, ann Technology",interest_127
antarctic ozone hole,AOH,interest_128
antenna design,"AD, Electromagnetic Radiators, Microstrip Antennas, Phased Array, RF Antennas",interest_129
antennas,"antennas Research, antennas Technology",interest_130
anthropology,"anthropology Research, anthropology Technology",interest_131
anti-cancer compounds,ACC,interest_132
antibiotic resistance,"AR, Biomedical Engineering, Biotechnology",interest_133
anticancer nanotechnology,"AN, Nanoscale Science, Nanotechnology",interest_134
antimicrobial ceramics and delivery systems,ACDS,interest_135
antimicrobial peptides,AP,interest_136
aops,"aops Research, aops Technology",interest_137
aos,"aos Research, aos Technology",interest_138
application of amine polymer,AAP,interest_139
applied,"applied Research, applied Technology",interest_140
applied aerodynamics,AA,interest_141
applied algorithms,AA,interest_142
applied econometrics,AE,interest_143
applied economics,AE,interest_144
applied ethics,AE,interest_145
applied game theory,AGT,interest_146
applied geology,AG,interest_147
applied mathematics,AM,interest_148
applied mechanics,AM,interest_149
applied operations research,AOR,interest_150
applied statistics,AS,interest_151
appropriate technology,AT,interest_152
approximate reasoning,AR,interest_153
approximation algorithms,AA,interest_154
approximation theory,AT,interest_155
aquatic ecology,AE,interest_156
aqueous binary mixtures,ABM,interest_157
array signal processing,ASP,interest_158
arsenic fluoride and heavy metal removal,AFHMR,interest_159
artifical intelligence,"AI, Artificial Intelligence, Machine Intelligence",interest_160
artificial intellegence,AI,interest_161
artificial intelligence,"AI, Artificial Intelligence, Machine Intelligence",interest_162
artificial intelligence & machine learning,"AIML, Artificial Intelligence, Machine Intelligence",interest_163
artificial intelligence and machine learning,"AIML, Artificial Intelligence, Machine Intelligence",interest_164
artificial neural networks and learning,"ANNL, Artificial Intelligence, Machine Intelligence, Telecommunications, Wireless Systems",interest_165
artificial recharge,AR,interest_166
asm gan hemt,AGH,interest_167
assembly of molecules,AM,interest_168
asset pricing,AP,interest_169
assistive technologies,AT,interest_170
assistive technology,AT,interest_171
astronomical image processing,"AIP, Image Analysis, Visual Recognition",interest_172
astronomy,"astronomy Research, astronomy Technology",interest_173
astronomy & astrophysics,AA,interest_174
astroparticle physics,AP,interest_175
astrophysical transients,AT,interest_176
astrophysics,"astrophysics Research, astrophysics Technology",interest_177
asymmetric catalysis,AC,interest_178
asymmetric synthesis,AS,interest_179
atmospheric chemistry,AC,interest_180
atmospheric chemistry and pollution,ACP,interest_181
atmospheric emissions,AE,interest_182
atmospheric modeling,AM,interest_183
atmospheric radiation,AR,interest_184
atmospheric science,AS,interest_185
atom probe tomography,APT,interest_186
atomic and molecular physics,AMP,interest_187
atomic physics,AP,interest_188
atomistic simulations,AS,interest_189
attention,"attention Research, attention Technology",interest_190
augmented reality,AR,interest_191
automated planning,AP,interest_192
automation,"automation Research, automation Technology",interest_193
automation in condition monitoring,ACM,interest_194
automotive engineering,AE,interest_195
automotive systems,AS,interest_196
autonomous aerospace systems,AAS,interest_197
autonomous driving,AD,interest_198
autonomous navigations,AN,interest_199
autonomous vehicles,AV,interest_200
autonomous vehicles/drones,AVD,interest_201
autophagy,"autophagy Research, autophagy Technology",interest_202
b2b marketing,BM,interest_203
bamboo reinforced concrete,BRC,interest_204
batteries,"batteries Research, batteries Technology",interest_205
batteries & supercapacitors,BS,interest_206
battery,"Clean Energy, Renewable Energy Systems",interest_207
battery & fuel cell,"BFC, Clean Energy, Renewable Energy Systems",interest_208
battery cooling,"BC, Clean Energy, Renewable Energy Systems",interest_209
battery recycling,"BR, Clean Energy, Renewable Energy Systems",interest_210
bayesian statistics,BS,interest_211
bci,"bci Research, bci Technology",interest_212
bci for robot control,"Autonomous Systems, BRC, Robotics & Automation",interest_213
bci in manuf,BM,interest_214
beamforming,"beamforming Research, beamforming Technology",interest_215
behavioural finance,BF,interest_216
bentonite-chemical interaction,BCI,interest_217
bias mitigation,BM,interest_218
bifurcation,"bifurcation Research, bifurcation Technology",interest_219
bifurcation theory,BT,interest_220
big data,BD,interest_221
big data analytics,BDA,interest_222
bim,"3D CAD Modeling, Building Information Modeling, Digital Twin in Construction",interest_223
binary mergers+gw emission,BMGE,interest_224
bio & gas sensors,"BGS, Biomedical Engineering, Biotechnology",interest_225
bio active molecule,"BAM, Biomedical Engineering, Biotechnology",interest_226
bio energy,"BE, Biomedical Engineering, Biotechnology, Clean Energy, Renewable Energy Systems",interest_227
bio process engineering,"BPE, Biomedical Engineering, Biotechnology",interest_228
bio-chemical sensing,"BCS, Biomedical Engineering, Biotechnology",interest_229
bio-chips,"BC, Biomedical Engineering, Biotechnology",interest_230
bio-crypto system,"BCS, Biomedical Engineering, Biotechnology",interest_231
bio-electricity,"BE, Biomedical Engineering, Biotechnology",interest_232
bio-electrodes,"BE, Biomedical Engineering, Biotechnology",interest_233
bio-energy,"BE, Biomedical Engineering, Biotechnology, Clean Energy, Renewable Energy Systems",interest_234
bio-fluid,"BF, Biomedical Engineering, Biotechnology",interest_235
bio-fluid mechanics,"BFM, Biomedical Engineering, Biotechnology",interest_236
bio-fuel,"BF, Biomedical Engineering, Biotechnology, Clean Energy, Renewable Energy Systems",interest_237
bio-geotechnics,"BG, Biomedical Engineering, Biotechnology",interest_238
bio-geotechnology,"BG, Biomedical Engineering, Biotechnology",interest_239
bio-inorganic chemistry,"BIC, Biomedical Engineering, Biotechnology",interest_240
bio-interfaces and biomaterials,"Advanced Materials, BIB, Biomedical Engineering, Biotechnology, Materials Science",interest_241
bio-material,"Advanced Materials, BM, Biomedical Engineering, Biotechnology, Materials Science",interest_242
bio-materials,"Advanced Materials, BM, Biomedical Engineering, Biotechnology, Materials Science",interest_243
bio-nems/mems,"BNM, Biomedical Engineering, Biotechnology",interest_244
bio-organic,"BO, Biomedical Engineering, Biotechnology",interest_245
bio-sensors,"BS, Biomedical Engineering, Biotechnology",interest_246
bio-signals & image processing,"BSIP, Biomedical Engineering, Biotechnology, Image Analysis, Visual Recognition",interest_247
bioactive and nutraceuticals extraction,"BNE, Biomedical Engineering, Biotechnology",interest_248
biocatalysis,"Biomedical Engineering, Biotechnology",interest_249
biocatalysis and enzyme mechanisms,"BEM, Biomedical Engineering, Biotechnology",interest_250
biochar,"Biomedical Engineering, Biotechnology",interest_251
biochemical eng,"BE, Biomedical Engineering, Biotechnology",interest_252
biochemical engineering,"BE, Biomedical Engineering, Biotechnology",interest_253
biochemical/bioprocess engineering,"BBE, Biomedical Engineering, Biotechnology",interest_254
biochemistry,"Biomedical Engineering, Biotechnology",interest_255
biocomposites,"Biomedical Engineering, Biotechnology",interest_256
biodegradable polymers,"BP, Biomedical Engineering, Biotechnology",interest_257
biodegradation of organics,"BO, Biomedical Engineering, Biotechnology",interest_258
biodiagnostics,"Biomedical Engineering, Biotechnology",interest_259
biodiesel,"Biomedical Engineering, Biotechnology",interest_260
bioelectronics,"Biochips, Biomedical Engineering, Biosensors, Biotechnology, Electrophysiology Devices, Implantable Electronics",interest_261
bioenergy,"Biomedical Engineering, Biotechnology, Clean Energy, Renewable Energy Systems",interest_262
bioenergy and biofuels,"BB, Biomedical Engineering, Biotechnology, Clean Energy, Renewable Energy Systems",interest_263
bioengineering,"Biomedical Engineering, Biotechnology",interest_264
biof,"Biomedical Engineering, Biotechnology",interest_265
biofertilizer,"Biomedical Engineering, Biotechnology",interest_266
biofilms,"Biomedical Engineering, Biotechnology",interest_267
biofluid mechanics,"BM, Biomedical Engineering, Biotechnology",interest_268
biofuel,"Biomedical Engineering, Biotechnology, Clean Energy, Renewable Energy Systems",interest_269
biofuel and enzyme production,"BEP, Biomedical Engineering, Biotechnology, Clean Energy, Renewable Energy Systems",interest_270
biofuel cell,"BC, Biomedical Engineering, Biotechnology, Clean Energy, Renewable Energy Systems",interest_271
biofuels,"Biomedical Engineering, Biotechnology, Clean Energy, Renewable Energy Systems",interest_272
biofuels (gaseous/liquid),"BGL, Biomedical Engineering, Biotechnology, Clean Energy, Renewable Energy Systems",interest_273
biofuels etc,"BE, Biomedical Engineering, Biotechnology, Clean Energy, Renewable Energy Systems",interest_274
biogas,"Biomedical Engineering, Biotechnology",interest_275
biogas technology,"BT, Biomedical Engineering, Biotechnology",interest_276
biohydrogen,"Biomedical Engineering, Biotechnology",interest_277
biohythane,"Biomedical Engineering, Biotechnology",interest_278
bioimaging,"Biomedical Engineering, Biotechnology",interest_279
bioimpedance,"Biomedical Engineering, Biotechnology",interest_280
bioinformatics,"Biomedical Engineering, Biotechnology",interest_281
bioinorganic,"Biomedical Engineering, Biotechnology",interest_282
bioinorganic & biomimetic,"BB, Biomedical Engineering, Biotechnology",interest_283
bioinorganic chemistry,"BC, Biomedical Engineering, Biotechnology",interest_284
bioinstrumentation,"Biomedical Engineering, Biotechnology",interest_285
biological and ecological processes,"BEP, Biomedical Engineering, Biotechnology",interest_286
biological chemistry,"BC, Biomedical Engineering, Biotechnology",interest_287
biological networks,"BN, Biomedical Engineering, Biotechnology, Telecommunications, Wireless Systems",interest_288
biological physics,"BP, Biomedical Engineering, Biotechnology",interest_289
biological wastewater treatment,"BWT, Biomedical Engineering, Biotechnology",interest_290
biology,"Biomedical Engineering, Biotechnology",interest_291
biomacromolecules structure,"BS, Biomedical Engineering, Biotechnology",interest_292
biomass,"Biomedical Engineering, Biotechnology",interest_293
biomass and bioenergy,"BB, Biomedical Engineering, Biotechnology, Clean Energy, Renewable Energy Systems",interest_294
biomass conversion,"BC, Biomedical Engineering, Biotechnology",interest_295
biomass energy,"BE, Biomedical Engineering, Biotechnology, Clean Energy, Renewable Energy Systems",interest_296
biomass pyrolysis,"BP, Biomedical Engineering, Biotechnology",interest_297
biomass transformation,"BT, Biomedical Engineering, Biotechnology",interest_298
biomass valorisation,"BV, Biomedical Engineering, Biotechnology",interest_299
biomaterial,"Advanced Materials, Biomedical Engineering, Biotechnology, Materials Science",interest_300
biomaterials,"Advanced Materials, Biomedical Engineering, Biotechnology, Materials Science",interest_301
biomaterials : nano technology,"Advanced Materials, BNT, Biomedical Engineering, Biotechnology, Materials Science, Nanoscale Science, Nanotechnology",interest_302
biomaterials and tissue,"Advanced Materials, BT, Biomedical Engineering, Biotechnology, Materials Science",interest_303
biomaterials and tissue engineering,"Advanced Materials, BTE, Biomedical Engineering, Biotechnology, Materials Science",interest_304
biomechanics,"Biomedical Engineering, Biotechnology",interest_305
biomechnics,"Biomedical Engineering, Biotechnology",interest_306
biomedical,"Biomedical Engineering, Biotechnology",interest_307
biomedical engineering,"BE, Biomedical Engineering, Biotechnology",interest_308
biomedical fluid flow,"BFF, Biomedical Engineering, Biotechnology",interest_309
biomedical instrumentation,"BI, Biomedical Engineering, Biotechnology",interest_310
biomedical materials and devices,"Advanced Materials, BMD, Biomedical Engineering, Biotechnology, Materials Science",interest_311
biomedical nanotechnology,"BN, Biomedical Engineering, Biotechnology, Nanoscale Science, Nanotechnology",interest_312
biomedical optics,"BO, Biomedical Engineering, Biotechnology",interest_313
biomedical sensors,"BS, Biomedical Engineering, Biotechnology",interest_314
biomedical signal and image processing,"BSIP, Biomedical Engineering, Biotechnology, Image Analysis, Visual Recognition",interest_315
biomedical signal processing,"BSP, Biomedical Engineering, Biotechnology",interest_316
biomedical signal processing & analysis,"BSPA, Biomedical Engineering, Biotechnology",interest_317
biomems,"Biomedical Engineering, Biotechnology",interest_318
biometrics,"Behavioral Biometrics, Biomedical Engineering, Biotechnology, Facial Recognition, Fingerprint Verification, Iris Scanning",interest_319
biomicrofluidics,"Biomedical Engineering, Biotechnology",interest_320
biomimetic design,"BD, Biomedical Engineering, Biotechnology",interest_321
bioorganic and medicinal chemistry,"BMC, Biomedical Engineering, Biotechnology",interest_322
bioorganic chemistry,"BC, Biomedical Engineering, Biotechnology",interest_323
biopharmaceuticals and material design,"Advanced Materials, BMD, Biomedical Engineering, Biotechnology, Materials Science",interest_324
biophotonics,"Biomedical Engineering, Biotechnology",interest_325
biophysics,"Biomedical Engineering, Biotechnology",interest_326
biophysics of collagen,"BC, Biomedical Engineering, Biotechnology",interest_327
biopolymer,"Biomedical Engineering, Biotechnology",interest_328
biopolymers,"Biomedical Engineering, Biotechnology",interest_329
bioprinting,"Biomedical Engineering, Biotechnology",interest_330
bioprocess analytical technology,"BAT, Biomedical Engineering, Biotechnology",interest_331
bioprocess development,"BD, Biomedical Engineering, Biotechnology",interest_332
bioprocess engineering,"BE, Biomedical Engineering, Biotechnology",interest_333
bioprocess modeling and control,"Autonomous Systems, BMC, Biomedical Engineering, Biotechnology, Robotics & Automation",interest_334
bioprocess optimization,"BO, Biomedical Engineering, Biotechnology",interest_335
bioprocessing data analytics,"BDA, Biomedical Engineering, Biotechnology",interest_336
biorefinery,"Biomedical Engineering, Biotechnology",interest_337
biorefinery with carbon capture & waste,"BCCW, Biomedical Engineering, Biotechnology",interest_338
bioremediation,"Biomedical Engineering, Biotechnology",interest_339
biorememdiation,"Biomedical Engineering, Biotechnology",interest_340
biosensing,"Biomedical Engineering, Biotechnology",interest_341
biosensor,"Biomedical Engineering, Biotechnology",interest_342
biosensor and cell and tissue engineering,"BCTE, Biomedical Engineering, Biotechnology",interest_343
biosensors,"Biomedical Engineering, Biotechnology",interest_344
bioseparation,"Biomedical Engineering, Biotechnology",interest_345
biosorption,"Biomedical Engineering, Biotechnology",interest_346
biosurfactants & biopolymers,"BB, Biomedical Engineering, Biotechnology",interest_347
biotechnology,"Biomedical Engineering, Biotechnology",interest_348
biotherapeutics manufacturing,"BM, Biomedical Engineering, Biotechnology",interest_349
biped locomotion,BL,interest_350
bituminous binders,BB,interest_351
bituminous materials,"Advanced Materials, BM, Materials Science",interest_352
black hole,BH,interest_353
black holes,BH,interest_354
blast,"blast Research, blast Technology",interest_355
blend,"blend Research, blend Technology",interest_356
blind source separation,BSS,interest_357
blockchain,"Artificial Intelligence, Machine Intelligence",interest_358
bluff body flow,BBF,interest_359
boiling,"boiling Research, boiling Technology",interest_360
boiling heat transfer,BHT,interest_361
bond graph,BG,interest_362
bone biology,"BB, Biomedical Engineering, Biotechnology",interest_363
bone remodelling,BR,interest_364
boron,"boron Research, boron Technology",interest_365
boundary layer theory,BLT,interest_366
brain computer interface,"Artificial Intelligence, BCI, Machine Intelligence",interest_367
brain computer interfaces,"Artificial Intelligence, BCI, Machine Intelligence",interest_368
brain-computer interface,"Artificial Intelligence, BCI, EEG Decoding, Machine Intelligence, Neural Interface, Neuromodulation",interest_369
branding,"branding Research, branding Technology",interest_370
breakwaters,"breakwaters Research, breakwaters Technology",interest_371
bridge engineering,BE,interest_372
brillouin light scattering,BLS,interest_373
brown carbon,BC,interest_374
bsim spice model,BSM,interest_375
bubbles,"bubbles Research, bubbles Technology",interest_376
bubbles/drops/particles,BDP,interest_377
buckling and postbuckling analysis,BPA,interest_378
building materials,"Advanced Materials, BM, Materials Science",interest_379
built environment,BE,interest_380
business administration,BA,interest_381
business analytics,BA,interest_382
business communities,BC,interest_383
business management,BM,interest_384
business process reengineering & supply,BPRS,interest_385
butanol production,BP,interest_386
c accounting,CA,interest_387
ca/ma storage,CMS,interest_388
cad,"cad Research, cad Technology",interest_389
cad cam,CC,interest_390
calcium phosphate,CP,interest_391
calcium signalling,CS,interest_392
cancer,"cancer Research, cancer Technology",interest_393
cancer biology,"Biomedical Engineering, Biotechnology, CB",interest_394
cancer biomarkers,"Biomedical Engineering, Biotechnology, CB",interest_395
cancer gene therapy,CGT,interest_396
cancer genomics,CG,interest_397
cancer genomics and transcriptomics,CGT,interest_398
cancer therapy,CT,interest_399
capacitors,"capacitors Research, capacitors Technology",interest_400
capacity building,CB,interest_401
capillarity and wetting,CW,interest_402
carbohydrate synthesis,CS,interest_403
carbon base nano-materials,"Advanced Materials, CBNM, Materials Science, Nanoscale Science, Nanotechnology",interest_404
carbon capture,CC,interest_405
carbon dioxide capture and sequestration,CDCS,interest_406
carbon dioxide capture and utilization,CDCU,interest_407
carbon footprint,CF,interest_408
carbon nanotube,"CN, Nanoscale Science, Nanotechnology",interest_409
carbon nanotube reinforced composites,"CNRC, Nanoscale Science, Nanotechnology",interest_410
carbon nanotubes and graph,"CNG, Nanoscale Science, Nanotechnology",interest_411
carbon-dioxide sequestration,CDS,interest_412
cardiovascular biology,"Biomedical Engineering, Biotechnology, CB",interest_413
cardiovascular mechanics,CM,interest_414
cardiovascular/metabolic diseases,CMD,interest_415
casting and welding,CW,interest_416
catalysis,"catalysis Research, catalysis Technology",interest_417
catalysis - her oer nrr co2rr lohc,CHONCL,interest_418
catalysis at electrified interfaces,CAEI,interest_419
catalysis over metal and metal oxide,COMMO,interest_420
catalytic membrane reactor,CMR,interest_421
catalytic membrane reactors,CMR,interest_422
cathodes,"cathodes Research, cathodes Technology",interest_423
cavitation-aided processes,"Artificial Intelligence, CAP, Machine Intelligence",interest_424
ccus,"ccus Research, ccus Technology",interest_425
cell,"cell Research, cell Technology",interest_426
cell and molecular biology,"Biomedical Engineering, Biotechnology, CMB",interest_427
cell biology,"Biomedical Engineering, Biotechnology, CB",interest_428
cell division and chromosome biology,"Biomedical Engineering, Biotechnology, CDCB, Image Analysis, Visual Recognition",interest_429
cellular manufacturing,CM,interest_430
cellular networks,"CN, Telecommunications, Wireless Systems",interest_431
cement chemistry and microstructure,CCM,interest_432
ceramic gas sensors,CGS,interest_433
ceramic membrane,CM,interest_434
ceramic shell,CS,interest_435
ceramics,"ceramics Research, ceramics Technology",interest_436
ceramics and composites,CC,interest_437
ceramics from molecular precursors,CFMP,interest_438
cfb combustion and gasification,CCG,interest_439
cfd,"Computational Fluid Dynamics, Fluid Flow Simulation, Navier-Stokes Solvers",interest_440
cfd & heat transfer,CHT,interest_441
cfd for multiphase f,CMF,interest_442
cfd simulation,CS,interest_443
cfd with lattice boltzmann method,CLBM,interest_444
cfrp,"cfrp Research, cfrp Technology",interest_445
ch activation,CA,interest_446
ch functionalization,CF,interest_447
channel and fluvial hydraulics,CFH,interest_448
channel modelling,CM,interest_449
chaperones,"chaperones Research, chaperones Technology",interest_450
characterization,"characterization Research, characterization Technology",interest_451
characterization of materials,"Advanced Materials, CM, Materials Science",interest_452
characterization techninques,CT,interest_453
charge storage,CS,interest_454
charge-magnetisation dynamics,CMD,interest_455
chargers,"chargers Research, chargers Technology",interest_456
chemical,"chemical Research, chemical Technology",interest_457
chemical biology,"Biomedical Engineering, Biotechnology, CB",interest_458
chemical engg,CE,interest_459
chemical engineering,CE,interest_460
chemical evolution,CE,interest_461
chemical kinetics,CK,interest_462
chemical physics,CP,interest_463
chemical sciences,CS,interest_464
chemical sensors,CS,interest_465
chemical vapor deposition,CVD,interest_466
chemical/bio sensing,"Biomedical Engineering, Biotechnology, CBS",interest_467
chemistry,"chemistry Research, chemistry Technology",interest_468
chemometrics,"chemometrics Research, chemometrics Technology",interest_469
chemosensory system,CS,interest_470
childhood,"childhood Research, childhood Technology",interest_471
chiral recognition,CR,interest_472
chronic diseases,CD,interest_473
chronomedicine,"chronomedicine Research, chronomedicine Technology",interest_474
circadian biology,"Biomedical Engineering, Biotechnology, CB",interest_475
circularly polarized and broadband,CPB,interest_476
civil engineering,CE,interest_477
clean technologies,CT,interest_478
climate,"climate Research, climate Technology",interest_479
climate change,CC,interest_480
climate change analysis and applications in,CCAA,interest_481
climate change impact,CCI,interest_482
climate networks,"CN, Telecommunications, Wireless Systems",interest_483
climate smart agriculture,CSA,interest_484
clinical data mining,CDM,interest_485
clinical diagnostics,CD,interest_486
cloaking,"cloaking Research, cloaking Technology",interest_487
cloud computing,CC,interest_488
cloud computing economics,CCE,interest_489
cloud resource broker,CRB,interest_490
cluster,"cluster Research, cluster Technology",interest_491
cnt,"cnt Research, cnt Technology",interest_492
cnts),"cnts) Research, cnts) Technology",interest_493
co-infection biology sars-cov-2 cancer,"Biomedical Engineering, Biotechnology, CIBSC2C",interest_494
co-ordination chemistry,COC,interest_495
co2 based adsorption cooling system,CBACS,interest_496
co2 capture & sequestration,CCS,interest_497
co2 capture & utilization,CCU,interest_498
co2 capture and conversion,CCC,interest_499
co2 capture and sequestration,CCS,interest_500
co2 capture and utilization,CCU,interest_501
co2 reduction,CR,interest_502
co2 utilization,CU,interest_503
co2 utilization & alternative fuels,"CUAF, Clean Energy, Renewable Energy Systems",interest_504
coastal and ocean engineering,COE,interest_505
coastal engineering,CE,interest_506
coating,"coating Research, coating Technology",interest_507
coatings,"coatings Research, coatings Technology",interest_508
cobalt-free,CF,interest_509
coding theory,CT,interest_510
cof,"cof Research, cof Technology",interest_511
cofs,"cofs Research, cofs Technology",interest_512
cognitive neuroscience,CN,interest_513
cognitive radio,CR,interest_514
cognitive science,CS,interest_515
cognitive systems,CS,interest_516
coherent control,"Autonomous Systems, CC, Robotics & Automation",interest_517
cold storage,CS,interest_518
collective dynamics,CD,interest_519
colloid and interface science,CIS,interest_520
colloidal self assembly,CSA,interest_521
colloids,"colloids Research, colloids Technology",interest_522
colloids & interfaces,CI,interest_523
